report_year,state,metal,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,facility_count
2006/2007,WA,Lead & compounds,31644.001371135,6933.5901344472395,9754.472648907058,214
2006/2007,WA,Mercury & compounds,8840.6687616032,18.516385710063958,102.52049754086039,176
2007/2008,ACT,Cadmium & compounds,2.2434953971000002,0.2,0.0,6
2007/2008,ACT,Lead & compounds,18.994191188600002,0.6,0.0,6
2007/2008,ACT,Mercury & compounds,4.99460689629,0.3,0.0,7
2007/2008,NSW,Cadmium & compounds,706.267915544446,8.19727,2.3171995,177
2007/2008,NSW,Lead & compounds,12420.035697480636,784.47557,318.11014,212
2007/2008,NSW,Mercury & compounds,1271.960637682551,103.746697,18.468719,208
2007/2008,NT,Cadmium & compounds,602.4727459220001,36.564440000000005,4.706764435,36
2007/2008,NT,Lead & compounds,95686.74555165198,60.720839999999995,186.664207279,40
2007/2008,NT,Mercury & compounds,142.30084342279997,1.582011,0.602294438,35
2007/2008,QLD,Cadmium & compounds,15597.632659641,43.242682,158.38396486599999,308
2007/2008,QLD,Lead & compounds,372414.93766024703,286.8508,331.454440596,323
2007/2008,QLD,Mercury & compounds,1784.4979525556598,126.65138400000001,3.7104360440999997,312
2007/2008,SA,Cadmium & compounds,3435.3130792287,414.61,0.23951675,84
2007/2008,SA,Lead & compounds,64356.14359618983,2942.02,67.78599375,89
2007/2008,SA,Mercury & compounds,311.01227029367965,20.18,1.3092265,96
2007/2008,TAS,Cadmium & compounds,136.89840314392688,1021.9260999999999,0.9009989110000001,51
2007/2008,TAS,Lead & compounds,3140.766406435314,7644.645068899999,130.529445102,58
2007/2008,TAS,Mercury & compounds,75.0611214220769,31.9304565,2.1084677082,52
2007/2008,VIC,Cadmium & compounds,343.6317301889013,218.1380063,72.01828351633334,201
2007/2008,VIC,Lead & compounds,5351.964839470477,390.30555,1149.641983902,224
2007/2008,VIC,Mercury & compounds,179.99519567729823,42.041430129,17.547569241719998,214
2007/2008,WA,Cadmium & compounds,2258.755584978758,620.5620154529412,192.19504178204693,192
2007/2008,WA,Lead & compounds,34402.22868718898,7192.0344200147065,1850.4973733628,218
2007/2008,WA,Mercury & compounds,8202.715860981853,40.745408835294114,60.2046808856,208
2008/2009,ACT,Cadmium & compounds,3.6922693391,0.1,0.0,8
2008/2009,ACT,Lead & compounds,22.5963250276,0.3,0.0,8
2008/2009,ACT,Mercury & compounds,3.15112454209,0.1,0.0,9
2008/2009,NSW,Cadmium & compounds,385.226106439247,9.5572300518,2.8059895289,189
2008/2009,NSW,Lead & compounds,11330.821656471639,315.87814653,79.24680239599999,225
2008/2009,NSW,Mercury & compounds,628.672666808911,94.188006229,5.212420860000001,218
2008/2009,NT,Cadmium & compounds,602.4567835732,32.246152,1.374811706,34
2008/2009,NT,Lead & compounds,8108.424222701199,36.0678742,9.349947008000001,39
2008/2009,NT,Mercury & compounds,541.2570655208799,1.312112,0.32294206000000003,36
2008/2009,QLD,Cadmium & compounds,12880.969158748996,630.42124477,77.7360423902,308
2008/2009,QLD,Lead & compounds,293930.65273379773,925.990411774,206.04082333620002,326
2008/2009,QLD,Mercury & compounds,1197.5651219294014,9.506570205,1.80697570973,312
2008/2009,SA,Cadmium & compounds,618.102212850025,413.141,2.260928738,93
2008/2009,SA,Lead & compounds,49241.61898501756,3641.3570000000004,15079.598985745,103
2008/2009,SA,Mercury & compounds,310.1631567524535,20.9295,34.073687781,106
2008/2009,TAS,Cadmium & compounds,77.874568713,1118.39,0.284786384,46
2008/2009,TAS,Lead & compounds,43368.693671127,3823.937,760.4835387280001,53
2008/2009,TAS,Mercury & compounds,35.8924969686,71.990075057,0.08857913120000001,51
2008/2009,VIC,Cadmium & compounds,332.2256637718,207.2653,1.618445449673,195
2008/2009,VIC,Lead & compounds,4395.343366771825,320.884935714,7.3197396655735,219
2008/2009,VIC,Mercury & compounds,167.5996360520228,47.869982593,1.2786637865786998,210
2008/2009,WA,Cadmium & compounds,2037.1361415018025,502.074213033,86.998205539748,198
2008/2009,WA,Lead & compounds,30741.56470036444,4758.8307672870005,782.455025443,227
2008/2009,WA,Mercury & compounds,9491.872833025915,36.770291779,36.9845627346712,219
2009/2010,ACT,Cadmium & compounds,1.9371896490450002,0.1,0.0,10
2009/2010,ACT,Lead & compounds,6.468603788495,0.2,0.0,12
2009/2010,ACT,Mercury & compounds,3.6907313372955,0.1,0.0,10
2009/2010,NSW,Cadmium & compounds,1074.573204993232,3.0205300518000002,3.8477557085,185
2009/2010,NSW,Lead & compounds,10172.036723582321,33.0722082465,142.246748834,229
2009/2010,NSW,Mercury & compounds,647.6479913534124,25.398830828999998,0.5192952421,213
2009/2010,NT,Cadmium & compounds,587.81976842,26.12420652,0.8984692625605599,27
2009/2010,NT,Lead & compounds,10724.822654519,62.018907,7.58222118702252,34
2009/2010,NT,Mercury & compounds,281.21167406219575,0.86440652,0.7471631812954524,30
