year,sex,cancer_type,cancer_cases,cancer_deaths,fatality_ratio
1993,females,Acute myeloid leukaemia,264.0,235.0,0.890152
1993,females,Anal cancer,31.0,4.0,0.129032
1993,females,Bladder cancer,536.0,233.0,0.434701
1993,females,Bowel cancer,4532.0,2076.0,0.458076
1993,females,Brain cancer,508.0,381.0,0.75
1993,females,Breast cancer,8778.0,2611.0,0.297448
1993,females,Cervical cancer,1016.0,318.0,0.312992
1993,females,Chronic lymphocytic leukaemia,273.0,86.0,0.315018
1993,females,Chronic myeloid leukaemia,127.0,99.0,0.779528
1993,females,Colon cancer,3204.0,1607.0,0.501561
1993,females,Head and neck excluding lip,533.0,242.0,0.454034
1993,females,Head and neck including lip,763.0,243.0,0.31848
1993,females,Hodgkin lymphoma,156.0,24.0,0.153846
1993,females,Kidney cancer,556.0,317.0,0.570144
1993,females,Laryngeal cancer,53.0,28.0,0.528302
1993,females,Liver cancer,132.0,147.0,1.113636
1993,females,Lung cancer,2201.0,1828.0,0.830532
1993,females,Melanoma of the skin,3050.0,272.0,0.08918
1993,females,Myeloma,331.0,243.0,0.734139
1993,females,Non-Hodgkin lymphoma,1182.0,616.0,0.521151
1993,females,Oesophageal cancer,352.0,279.0,0.792614
1993,females,Ovarian cancer,1080.0,704.0,0.651852
1993,females,Pancreatic cancer,758.0,723.0,0.953826
1993,females,Rectal cancer,1328.0,469.0,0.353163
1993,females,Stomach cancer,627.0,446.0,0.711324
1993,females,Thyroid cancer,526.0,48.0,0.091255
1993,females,Tongue cancer,103.0,56.0,0.543689
1993,females,Unknown primary site,1334.0,1019.0,0.763868
1993,females,Uterine cancer,1245.0,253.0,0.203213
1993,males,Acute lymphoblastic leukaemia,148.0,68.0,0.459459
1993,males,Acute myeloid leukaemia,324.0,313.0,0.966049
1993,males,Anal cancer,37.0,9.0,0.243243
1993,males,Bladder cancer,1644.0,533.0,0.324209
1993,males,Bowel cancer,5323.0,2322.0,0.43622
1993,males,Brain cancer,602.0,534.0,0.887043
1993,males,Breast cancer,65.0,15.0,0.230769
1993,males,Chronic lymphocytic leukaemia,397.0,133.0,0.335013
1993,males,Chronic myeloid leukaemia,166.0,101.0,0.608434
1993,males,Colon cancer,3287.0,1682.0,0.511713
1993,males,Head and neck excluding lip,1730.0,701.0,0.405202
1993,males,Head and neck including lip,2488.0,713.0,0.286576
1993,males,Hodgkin lymphoma,194.0,59.0,0.304124
1993,males,Kidney cancer,899.0,382.0,0.424917
1993,males,Laryngeal cancer,535.0,219.0,0.409346
1993,males,Liver cancer,369.0,354.0,0.95935
1993,males,Lung cancer,5121.0,4524.0,0.883421
1993,males,Melanoma of the skin,3715.0,581.0,0.156393
